text,category
43. How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,Analysis
68. Select the best title for a passage,Comprehension
49. Paraphrase the poem in your own words,Comprehension
39. How is . . . similar to . . .?,Analysis
76. Examine differences between the means of each individual switching factor.,Analysis
26. Explain in your own words what is meant by mercantilism.,Comprehension
69. Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation
15. How can you explain what is meant ...?,Comprehension
49. Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
19. Determine the author's point of view,Comprehension
"76. Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluation
59. Judge aesthetic qualities and relationship to future values.,Evaluation
67. Rewrite a part in the poem using a different speaker,Comprehension
75. Use a sketch too find the exact value of each expression,Application
"7. By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
16. Make a list of the main events of the story.,Knowledge
"14. Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",Analysis
13. How can you describe _____________?,Comprehension
"37. Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",Comprehension
17. Compare fall and spring,Analysis
87. Translate the following passage from The Iliad into English.,Comprehension
"89.  Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
"34. In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
24. Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
5. Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
93. Estimate the difficulty of the question,Evaluation
80. What would you do if a heavy growth of bacteria had occurred,Application
8. Can you compare your . . . with that presented in . . .?,Analysis
22. What is the difference between atomic and molecular mass?,Comprehension
7. Judge the value of... What do you think about...?,Evaluation
87. Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
17. What criteria would you use to assess...?,Evaluation
22. Identify a phrase as a simile,Knowledge
"34. Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
"66. Rewrite the sentence in your head, following the direction given below",Comprehension
